,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
EDC3,0.410963,0.410963,0.051298,0.051298,0.000000,0.007128,0.444003,0.283040,0.400119,0.305667,0.115064,1.835610,0.138782,0.755781
CCDC117,-0.404285,0.404285,-0.202254,0.202254,0.000000,0.000618,-0.606044,0.002024,-0.331578,0.221122,0.332366,3.670141,0.673722,1.610153
RBCK1,0.398038,0.398038,0.095786,0.095786,0.000000,0.002241,0.497578,0.162077,0.282358,0.260726,0.191718,2.448520,0.554760,0.640731
KIAA0913,-0.397811,0.397811,-0.051360,0.051360,0.000000,0.000847,-0.158872,-0.032439,-0.432375,-0.578699,0.321961,1.440291,0.244160,0.211749
UBAC2,-0.397487,0.397487,-0.041304,0.041304,0.000000,0.000917,-0.274944,-0.019422,-0.638997,-0.276021,0.149614,2.537446,0.128140,0.132506
GIPR,0.392221,0.392221,0.043809,0.043809,0.000000,0.000433,0.451752,-0.491173,0.418661,0.372036,0.096580,1.054860,0.087861,0.252750
C1orf107,-0.391727,0.391727,-0.040099,0.040099,0.000000,0.000076,-0.089365,0.089125,-0.395711,-0.476763,0.446884,0.648156,0.229972,0.060690
CPPED1,0.388839,0.388839,0.494196,0.494196,0.000000,0.006327,0.452081,0.117856,0.287887,0.347226,1.088697,15.484542,3.854966,2.889380
NFU1,0.385601,0.385601,0.235721,0.235721,0.000000,0.007492,0.412046,0.155742,0.345907,0.438815,0.569738,3.332726,0.803670,0.739630
FBRSL1,-0.383568,0.383568,-0.071408,0.071408,0.000000,0.005663,-0.453121,-0.603220,-0.356775,-0.104051,0.156947,0.285662,0.141690,0.273238
RAB3A,0.383456,0.383456,0.159716,0.159716,0.000000,0.000704,0.608193,-0.099607,0.153066,0.406844,0.261536,2.539463,0.300625,0.240400
TMEM129,0.381985,0.381985,0.120443,0.120443,0.000000,0.000756,0.641987,0.051741,0.229357,-0.097998,0.186844,4.043330,0.183136,1.007380
AP1B1,0.379059,0.379059,0.034723,0.034723,0.000000,0.000022,0.538798,-0.123288,0.481131,0.042843,0.064183,0.312312,0.051821,0.117968
CENPB,0.377437,0.377437,0.036914,0.036914,0.000000,0.001650,0.552783,-0.076729,0.018828,0.348929,0.066507,2.981931,0.176459,0.063076
BUB1B,0.376173,0.376173,0.092125,0.092125,0.000000,0.005812,0.535352,0.326324,0.038357,-0.083149,0.171381,2.043499,0.890141,0.875063
USO1,0.372958,0.372958,0.096926,0.096926,0.000000,0.008035,0.455360,-0.091503,0.524309,-0.116342,0.211986,2.804782,0.277089,0.636007
NDUFAF1,0.372947,0.372947,0.161384,0.161384,0.000000,0.007721,0.504904,-0.054474,0.212679,0.156070,0.318328,7.396781,0.607870,2.329729
KIAA1688,-0.371625,0.371625,-0.057138,0.057138,0.000000,0.003809,-0.355184,0.035966,-0.463333,-0.460084,0.160212,0.584694,0.143724,0.547276
UCHL5,0.368822,0.368822,0.110193,0.110193,0.000000,0.008227,0.456544,0.397085,0.442826,-0.155192,0.240379,2.236891,0.267864,0.801442
ZC3H13,-0.367686,0.367686,-0.185736,0.185736,0.000000,0.000569,-0.604655,-0.134596,-0.465113,-0.154991,0.305923,0.676326,0.397745,0.315145
IGF1R,0.366683,0.366683,0.068125,0.068125,0.000000,0.006231,0.476075,-0.239746,0.226303,0.507330,0.142512,1.057340,0.255768,0.396408
MCOLN1,0.365497,0.365497,0.139129,0.139129,0.000000,0.000000,0.658985,0.084182,0.189813,0.151267,0.210264,2.601194,0.217592,0.446076
ALOX5,0.365251,0.365251,0.264371,0.264371,0.000000,0.007294,0.579180,0.087592,0.258686,0.194256,0.454595,4.301440,1.526736,0.508546
TCEA2,0.363861,0.363861,0.036152,0.036152,0.000000,0.002583,0.456011,0.139199,0.356097,-0.126123,0.078956,2.389911,0.149625,0.479807
SNF8,-0.362917,0.362917,-0.048459,0.048459,0.000000,0.000839,-0.246838,-0.314451,-0.544781,-0.216223,0.195516,1.284761,0.168371,0.326922
SAMD10,-0.362913,0.362913,-0.023098,0.023098,0.000000,0.002622,-0.368271,-0.206136,-0.397217,-0.338354,0.062464,0.510271,0.080230,0.119153
PEBP1,0.362178,0.362178,0.142950,0.142950,0.000000,0.004368,0.510984,0.022068,0.360105,0.064528,0.278613,1.861836,0.455977,0.858081
CSNK1G2,-0.355653,0.355653,-0.035543,0.035543,0.000000,0.001712,-0.504703,-0.037560,-0.434528,-0.207395,0.070136,0.238808,0.063740,0.073012
RPUSD4,0.345490,0.345490,0.119405,0.119405,0.000000,0.008512,0.477775,0.176333,0.395336,0.067098,0.248898,2.317404,0.381198,0.472450
COL23A1,0.345142,0.345142,0.040785,0.040785,0.000000,0.002624,0.410463,-0.182194,0.320162,0.325378,0.098958,1.575585,0.268463,0.085057
MRPS16,0.334959,0.334959,0.107833,0.107833,0.000000,0.007813,0.488316,0.442228,0.388893,-0.175657,0.219925,1.714711,0.725812,0.612120
OSBPL9,0.327693,0.327693,0.080989,0.080989,0.000000,0.000499,0.360437,-0.097282,0.474183,0.118628,0.223781,1.857307,0.336275,0.592032
FOXJ2,0.323897,0.323897,0.097375,0.097375,0.000000,0.001620,0.604392,-0.026353,0.172312,0.034431,0.160455,0.902255,0.387283,0.298876
C1orf9,-0.315328,0.315328,-0.138881,0.138881,0.000000,0.000461,-0.379920,0.119291,-0.556403,-0.294285,0.364060,0.599743,0.381671,0.249401
INPP5B,0.312317,0.312317,0.304103,0.304103,0.000000,0.005663,0.517190,0.061098,0.343822,0.113174,0.585591,2.881182,1.147996,0.686449
KLHL12,-0.309830,0.309830,-0.093077,0.093077,0.000000,0.004263,-0.114525,0.266475,-0.516140,-0.413657,0.809409,2.337029,0.543001,0.961809
TSSC1,0.309479,0.309479,0.262947,0.262947,0.000000,0.002376,0.664855,0.094349,0.040231,0.055697,0.393881,2.647962,0.545307,0.775510
HSP90AA1,0.309371,0.309371,0.058786,0.058786,0.000000,0.004056,0.582923,0.114519,0.068734,0.122795,0.100435,2.071342,0.182747,0.142118
MSTO1,0.307468,0.307468,0.018799,0.018799,0.000000,0.005793,0.086909,-0.286228,0.006468,0.494357,0.215429,0.343305,0.600392,0.057425
MAST3,-0.294243,0.294243,0.043335,0.043335,0.766420,0.000635,0.572888,-0.095296,0.095665,-1.550850,0.075333,1.510744,0.170570,0.052942
C1orf104,0.291944,0.291944,0.096521,0.096521,0.157021,0.000000,0.916844,0.261418,0.319028,-0.328321,0.104846,0.650902,0.187350,0.098527
RUVBL1,-0.282609,0.282609,-0.011064,0.011064,0.009468,0.009284,-0.165697,-0.089497,-0.590031,-0.084750,0.066498,0.350533,0.040205,0.038632
SOS2,-0.281723,0.281723,-0.078263,0.078263,0.000000,0.008582,-0.264171,0.284618,-0.404100,-0.066015,0.295049,5.016972,0.400751,1.621932
MANF,0.274075,0.274075,-0.058629,0.058629,0.000000,0.000000,-0.178647,0.101248,0.018995,0.491773,0.326845,1.261578,0.446728,0.104007
NUDT22,0.270552,0.270552,0.035414,0.035414,0.000000,0.005752,0.116221,-0.233038,0.536308,0.024624,0.303472,3.806838,0.111204,0.140613
TRPT1,0.270552,0.270552,0.035414,0.035414,0.000000,0.005752,0.116221,-0.233038,0.536308,0.024624,0.303472,3.806838,0.111204,0.140613
MGMT,-0.250945,0.250945,-0.113446,0.113446,0.000000,0.006568,-0.235270,0.195296,0.076106,-0.504846,0.480228,2.742706,0.832926,0.431806
MORN5,-0.219371,0.219371,-0.134660,0.134660,0.000000,0.000376,-0.072446,-0.193361,-0.028659,-0.239073,1.851184,3.632645,2.431759,0.119444
C1orf187,0.211031,0.211031,0.019083,0.019083,0.000000,0.000001,0.019326,-0.161242,-0.144843,0.362514,0.983383,1.971414,3.028503,0.302188
MINPP1,0.200489,0.200489,-0.043152,0.043152,0.000000,0.000977,-0.102987,-0.305736,-0.103710,0.282657,0.417291,2.117527,1.230690,0.067712
MCM10,-0.193082,0.193082,-0.063214,0.063214,0.000000,0.000001,-0.213239,0.037819,-0.031287,-0.356679,0.295236,1.288620,0.540114,0.398566
MAP2K7,-0.166382,0.166382,-0.070058,0.070058,0.000000,0.000000,-0.166293,0.198188,0.034650,-0.577545,0.419574,3.777304,0.543518,0.881192
MTHFD1L,-0.155763,0.155763,-0.047625,0.047625,0.000000,0.000000,-0.098281,-0.081103,-0.020146,-0.241352,0.482606,1.748668,0.330482,0.149587
MCEE,-0.137736,0.137736,0.024684,0.024684,0.060153,0.000000,0.119533,0.210264,0.377893,-0.724611,0.205663,0.349267,0.349288,0.130565
MGST3,-0.121426,0.121426,-0.020605,0.020605,0.000000,0.006738,-0.053392,0.132765,-0.179910,-0.157564,0.384338,2.321226,0.608688,0.189755
MRPL27,0.099987,0.099987,-0.033755,0.033755,0.000000,0.004789,-0.058795,0.203036,0.102491,0.301139,0.571773,2.447671,0.463716,0.873805
MAP4K2,0.082678,0.082678,0.101939,0.101939,0.000000,0.000053,0.172819,0.105548,0.253395,-0.017814,0.587455,4.526128,0.659710,0.240831
MRPL2,0.078834,0.078834,-0.009361,0.009361,0.000000,0.000000,-0.018993,-0.244037,0.059038,0.302949,0.490855,1.235033,0.512637,0.448818
MIR219-1,0.067383,0.067383,-0.029241,0.029241,0.000000,0.000000,-0.020647,0.079130,0.135488,0.104464,1.410416,4.975202,2.099030,1.343176
MBD2,-0.058863,0.058863,-0.189169,0.189169,0.000000,0.000016,-0.093391,0.141503,0.075099,-0.112183,2.017298,8.146532,2.766805,0.953895
MTMR14,0.040413,0.040413,-0.124062,0.124062,0.000000,0.004689,-0.333146,-0.101636,-0.408148,0.446784,0.370874,0.853547,0.326233,0.159447
MTA3,-0.038249,0.038249,0.158805,0.158805,0.000000,0.000009,0.136442,0.188576,0.221653,-0.342104,1.159153,3.869523,1.264895,0.732538
MRPL49,0.030014,0.030014,-0.023696,0.023696,0.000000,0.000215,-0.096721,-0.354174,-0.152525,0.174207,0.243995,1.250430,0.185340,0.079597
MIA3,0.021736,0.021736,0.043164,0.043164,0.356104,0.000009,0.699800,-0.254171,0.296027,-0.867239,0.061429,0.572893,0.144601,0.118069
C1orf203,-0.014579,0.014579,0.096560,0.096560,0.544913,0.000001,0.452821,-0.003052,0.703754,-1.180967,0.212370,1.490824,0.137151,0.151004
MSRA,-0.004315,0.004315,-0.123157,0.123157,0.000000,0.005663,-0.005745,0.057421,-0.013438,-0.026557,21.350538,28.319684,16.917592,14.134382
