,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
ERF,0.866468,0.866468,0.049706,0.049706,0.192037,0.001483,0.470876,0.167110,1.595567,0.645796,0.105129,0.875752,0.090189,0.177465
ATXN7L3,0.862039,0.862039,0.134270,0.134270,0.000000,0.000182,0.468082,-0.252058,0.176819,1.294404,0.285680,2.502669,1.754591,0.195225
VTN,-0.859576,0.859576,0.128323,0.128323,0.204021,0.000000,0.139176,-0.244997,-0.044521,-1.414249,0.918259,0.890073,0.957972,0.053597
SMCR7L,-0.851107,0.851107,-0.083801,0.083801,0.144977,0.000000,-0.389737,0.155470,-0.281902,-1.452813,0.214141,3.134973,0.439303,0.089532
POMP,-0.848806,0.848806,0.217101,0.217101,0.000000,0.000288,0.157603,0.050685,-0.101220,-1.042097,1.371894,0.748369,1.636904,0.080799
DDX6,0.846041,0.846041,0.117909,0.117909,0.101595,0.000000,0.323053,-0.055686,0.352038,1.349928,0.363494,1.570632,0.351772,0.081413
ZNF615,0.843126,0.843126,0.109591,0.109591,0.000000,0.000000,0.801381,-0.027194,0.278655,0.967452,0.136195,3.499571,0.582820,0.081594
DUSP10,0.839251,0.839251,0.085585,0.085585,0.536157,0.000000,0.828101,-0.291355,0.178933,1.782115,0.102929,0.957946,0.212328,0.033080
B2M,0.837768,0.837768,0.124134,0.124134,0.000000,0.000006,0.504113,-0.077946,0.021923,1.273965,0.245238,1.991584,0.877003,0.158583
FAM178A,0.837049,0.837049,0.050431,0.050431,0.010100,0.000000,0.618587,0.420345,1.187915,0.765046,0.081194,0.235735,0.061741,0.080372
SNX18,-0.836149,0.836149,-0.039350,0.039350,0.065797,0.000000,-0.495861,-0.356256,-0.639935,-1.259747,0.079033,1.145747,0.077733,0.037199
PLXNC1,0.835557,0.835557,0.145891,0.145891,0.000000,0.000012,0.414571,0.272609,0.406364,1.131676,0.350473,2.186348,0.732562,0.144833
CCDC6,0.834761,0.834761,0.062567,0.062567,0.000000,0.000098,0.851985,-0.311884,1.053428,0.758719,0.073138,0.659407,0.070865,0.048059
CSF1,-0.834026,0.834026,0.147486,0.147486,0.000000,0.009189,0.181350,-0.049856,0.058353,-0.948696,0.809951,2.951521,1.275242,0.051675
RRAS2,-0.832022,0.832022,-0.166434,0.166434,0.163669,0.000002,-0.134340,0.161281,0.132519,-1.394203,1.233845,1.492502,0.860294,0.111781
NSA2,-0.828240,0.828240,-0.056358,0.056358,0.301562,0.000000,-0.270565,-0.094217,-0.288800,-1.626349,0.207448,3.003472,0.312831,0.061925
UBIAD1,-0.826769,0.826769,-0.008039,0.008039,0.198863,0.000000,-0.011036,-0.504828,-0.055457,-1.432494,0.725446,0.092034,1.278554,0.042334
CCDC109A,-0.818277,0.818277,0.001327,0.001327,0.000000,0.001126,0.001128,0.256900,-0.004959,-0.945407,1.171361,1.276530,1.389071,0.059761
PACRG,-0.815596,0.815596,-0.116862,0.116862,0.000000,0.000103,-0.204463,-0.029925,-0.141419,-1.014810,0.569225,0.897803,0.626341,0.065854
NUP54,0.814895,0.814895,-0.060138,0.060138,0.000000,0.000927,-0.081905,0.152149,0.057321,1.079984,0.731234,0.890065,2.422307,0.116075
ASCC1,0.814592,0.814592,0.079019,0.079019,0.000000,0.000072,0.118458,-0.054905,0.311413,1.041691,0.664337,3.424961,0.450164,0.093862
BCL10,-0.813138,0.813138,-0.045668,0.045668,0.214763,0.000000,-0.106429,-0.028531,0.080215,-1.414042,0.427337,1.250329,1.415435,0.060356
ZNF789,0.810850,0.810850,0.074440,0.074440,0.000000,0.000006,0.316515,0.043319,0.423214,1.062324,0.234227,1.884827,0.388975,0.071558
STARD7,0.807197,0.807197,0.073930,0.073930,0.000000,0.000748,0.375840,0.123822,1.216961,0.823332,0.195904,1.633998,0.163189,0.147863
PTMS,0.806765,0.806765,0.120490,0.120490,0.000000,0.000000,0.502525,0.063237,1.098337,0.167701,0.238790,4.094937,0.125661,0.739100
ZNF691,-0.801448,0.801448,0.019961,0.019961,0.669284,0.000000,0.027187,0.020547,-0.035738,-1.936731,0.731230,1.255986,0.782795,0.065082
ARSK,0.795093,0.795093,-0.036306,0.036306,0.239124,0.000414,-0.055034,-0.071590,0.313834,1.458747,0.657007,1.127162,0.689717,0.076732
IL10RB,-0.793850,0.793850,-0.028298,0.028298,0.448931,0.000000,-0.087326,-0.340743,-0.131843,-1.760381,0.322724,0.393123,1.081915,0.063508
NOL7,-0.786846,0.786846,-0.030919,0.030919,0.020165,0.000135,-0.185976,-0.158546,-0.899443,-1.062020,0.165574,1.538907,0.072233,0.093572
DNAJC5,-0.784861,0.784861,0.003157,0.003157,0.088945,0.000000,0.006371,0.435478,-1.238003,-0.545099,0.493513,2.469556,0.087138,0.235916
C6orf1,0.784857,0.784857,0.108930,0.108930,0.000000,0.000000,0.529374,0.017454,0.973325,0.891922,0.204932,0.887922,0.143978,0.133510
C4orf10,-0.784312,0.784312,-0.003326,0.003326,0.000000,0.007492,-0.004572,-0.275752,-0.288239,-1.022791,0.724363,0.794675,1.062930,0.109238
LRRC16A,-0.783749,0.783749,-0.068986,0.068986,0.000000,0.000026,-0.114650,-0.222476,0.038573,-1.184657,0.599250,1.914936,0.924619,0.174382
UBE2CBP,-0.776100,0.776100,-0.151744,0.151744,0.060979,0.000002,-0.390012,-0.134024,-0.182395,-1.125985,0.387486,0.530244,0.373595,0.044627
C6orf217,-0.774857,0.774857,-0.097612,0.097612,0.000000,0.001311,-0.098006,0.107483,0.059910,-0.909925,0.991916,0.973220,0.951855,0.054773
CP110,0.772778,0.772778,0.073188,0.073188,0.019062,0.000021,0.229547,0.358557,0.509000,1.234992,0.317536,0.620829,0.217360,0.117812
KLHDC10,-0.771476,0.771476,0.026441,0.026441,0.293744,0.000000,0.050747,0.024144,-0.025368,-1.486137,0.518918,3.585638,0.666266,0.064655
ZNF131,0.769893,0.769893,0.121206,0.121206,0.000000,0.000006,0.464107,-0.292797,0.412363,1.063627,0.260093,2.166412,0.218799,0.089004
FMNL3,0.768433,0.768433,0.255049,0.255049,0.000000,0.008358,0.178801,-0.220169,0.101189,1.129687,1.420613,3.906674,1.623607,0.334783
NAF1,0.767105,0.767105,-0.146233,0.146233,0.000000,0.007696,-0.080948,0.200149,-0.074054,0.951109,1.799122,2.140316,1.109860,0.123149
DNMT1,0.763217,0.763217,0.054644,0.054644,0.000000,0.006838,0.650520,-0.168911,1.127341,0.602164,0.083657,1.385228,0.132425,0.220735
ZBTB7B,-0.761399,0.761399,-0.028363,0.028363,0.028611,0.000000,-0.709226,-0.346561,-0.432494,-1.086561,0.039828,1.127619,0.059309,0.038266
IKBKAP,-0.761367,0.761367,-0.028606,0.028606,0.099596,0.001105,-0.269142,-0.256661,-0.631240,-1.257460,0.105851,1.626545,0.140431,0.053974
LZTR1,0.760485,0.760485,0.164459,0.164459,0.007727,0.000018,0.276350,-0.390075,0.268760,1.131877,0.592683,1.152700,0.522036,0.128512
FLJ31306,0.759854,0.759854,0.144194,0.144194,0.017051,0.000000,1.207954,-0.119161,0.503115,0.302783,0.118883,1.853164,0.265286,0.221366
GBAP1,0.758518,0.758518,0.072654,0.072654,0.000000,0.001249,0.047134,-0.130202,-0.027531,0.970068,1.535131,3.945656,1.973127,0.194615
UBE2F,-0.757080,0.757080,-0.127937,0.127937,0.000000,0.002949,-0.150194,-0.041190,-0.183165,-0.905692,0.848340,2.076772,1.796624,0.107726
UPF3A,0.755525,0.755525,0.056264,0.056264,0.000000,0.000004,0.321172,-0.300097,0.863245,0.927483,0.174469,2.191527,0.130210,0.080205
PCID2,0.755430,0.755430,0.028244,0.028244,0.526737,0.005151,0.224442,0.002710,0.316495,1.825999,0.125328,1.304395,0.173416,0.051231
DAG1,0.752101,0.752101,-0.005283,0.005283,0.000000,0.002295,-0.005402,0.615404,-0.117849,0.964356,0.973997,0.385570,2.968475,0.148917
LRPAP1,0.747242,0.747242,0.101382,0.101382,0.375063,0.000000,0.229917,-0.233244,-0.025626,1.560210,0.439150,1.079143,0.921153,0.051499
C11orf24,-0.745921,0.745921,0.011443,0.011443,0.013462,0.000439,0.038288,-0.461987,-0.089042,-0.943677,0.297639,0.396638,2.922538,0.044078
C14orf181,0.745864,0.745864,-0.224127,0.224127,0.000000,0.006067,-0.082709,-0.288075,-0.058702,0.866893,2.698763,3.060047,6.863862,0.158805
PPP2R5C,0.744490,0.744490,0.074450,0.074450,0.069997,0.006816,0.330924,0.292756,1.380073,0.319975,0.224057,1.312753,0.154104,0.314866
RECQL5,0.744321,0.744321,0.117299,0.117299,0.024193,0.000000,1.159819,-0.179463,0.670673,0.384939,0.100723,0.876105,0.110220,0.180908
REPIN1,-0.744298,0.744298,-0.048227,0.048227,0.058584,0.000706,-0.066571,0.341090,0.039386,-0.990078,0.721484,0.749031,1.915705,0.035596
NUDC,0.741182,0.741182,0.080999,0.080999,0.000000,0.000354,0.093720,0.283700,0.144039,1.088980,0.860742,1.462221,0.802739,0.192264
STRADB,-0.740428,0.740428,-0.057999,0.057999,0.137855,0.000000,-0.454114,0.352186,-0.499587,-1.235457,0.127198,0.974760,0.159065,0.034427
AP4S1,0.737726,0.737726,0.133018,0.133018,0.000000,0.001839,0.236182,-0.149985,-0.114159,0.840438,0.560903,0.914818,1.667296,0.043238
CCDC136,0.736070,0.736070,0.076239,0.076239,0.000000,0.002495,0.098747,1.008338,0.261699,0.617456,0.768916,0.085350,1.225313,0.060087
PDIA4,-0.735730,0.735730,-0.067323,0.067323,0.138094,0.000000,-0.132184,0.302513,-0.346553,-1.277232,0.507237,1.180354,0.390594,0.082133
NASP,0.734634,0.734634,0.063927,0.063927,0.056321,0.000012,0.271739,-0.142815,0.279228,1.110746,0.234292,0.777674,1.041850,0.066606
